etf_code,style_bucket,strategy,roll_date,end_date,S0,ST,K,C0,coverage_ratio,option_selected_flag,no_option_available_flag,selection_reason,iv_timing_action,iv_30d_atm,iv_percentile_252,iv_regime,iv_invalid_reason,iv_observation_count,rv_20d,iv_rv_spread,iv_signal_valid,fallback_flag,price_source,option_code,selected_delta,selected_iv,days_to_expiry,moneyness,R_etf,premium_yield,upside_cost,cost,R_cc,excess_return,assignment_flag,premium_contribution,upside_cost_contribution,transaction_cost_contribution,net_option_contribution,experiment_stage,experiment_stage_name,rule_id,rule_name,rule_warmup_invalid_coverage,rule_data_invalid_coverage,rule_low_coverage,rule_normal_coverage,rule_high_coverage,experiment_strategy,synthetic_demo,style_group,style_rule_group,style_rule_reason,close_rule,close_triggered,close_date,close_buyback_price,close_buyback_yield,close_price_source,close_iv_percentile,close_iv_threshold,close_days_held
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-01-29,2021-02-26,3.029,2.814,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.07098052162429841,0.0,0.0,0.0,-0.07098052162429841,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-02-26,2021-03-31,2.814,2.665,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.0529495380241649,0.0,0.0,0.0,-0.0529495380241649,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-03-31,2021-04-30,2.665,2.989,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,0.12157598499061907,0.0,0.0,0.0,0.12157598499061907,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-04-30,2021-05-31,2.989,3.195,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,0.06891937102709936,0.0,0.0,0.0,0.06891937102709936,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-05-31,2021-06-30,3.195,3.373,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,0.05571205007824738,0.0,0.0,0.0,0.05571205007824738,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-06-30,2021-07-30,3.373,3.328,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.013341239252890711,0.0,0.0,0.0,-0.013341239252890711,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-07-30,2021-08-31,3.328,3.106,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.06670673076923077,0.0,0.0,0.0,-0.06670673076923077,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-08-31,2021-09-30,3.106,3.148,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,0.013522215067611159,0.0,0.0,0.0,0.013522215067611159,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-09-30,2021-10-29,3.148,3.249,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,0.0320838627700127,0.0,0.0,0.0,0.0320838627700127,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-10-29,2021-11-30,3.249,3.386,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,0.04216682056017236,0.0,0.0,0.0,0.04216682056017236,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-11-30,2021-12-31,3.386,3.218,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.04961606615475492,0.0,0.0,0.0,-0.04961606615475492,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2021-12-31,2022-01-28,3.218,2.819,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.1239900559353636,0.0,0.0,0.0,-0.1239900559353636,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-01-28,2022-02-28,2.819,2.786,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.011706278822277375,0.0,0.0,0.0,-0.011706278822277375,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-02-28,2022-03-31,2.786,2.574,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.07609475951184501,0.0,0.0,0.0,-0.07609475951184501,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-03-31,2022-04-29,2.574,2.244,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.12820512820512805,0.0,0.0,0.0,-0.12820512820512805,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-04-29,2022-05-31,2.244,2.334,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,0.040106951871657685,0.0,0.0,0.0,0.040106951871657685,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-05-31,2022-06-30,2.334,2.73,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,0.1696658097686375,0.0,0.0,0.0,0.1696658097686375,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-06-30,2022-07-29,2.73,2.594,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.04981684981684986,0.0,0.0,0.0,-0.04981684981684986,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-07-29,2022-08-31,2.594,2.491,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.03970701619121039,0.0,0.0,0.0,-0.03970701619121039,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-08-31,2022-09-30,2.491,2.221,,0.0,0.0,0,0,data_invalid_skip,data_invalid_skip,,,data_invalid,,,,,0,,none,,,,,,-0.1083902047370534,0.0,0.0,0.0,-0.1083902047370534,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-09-30,2022-10-31,2.221,2.202,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.26475840301513676,,warmup_invalid,warmup,10.0,0.2301303873116643,0.03462801570347246,0,,none,,,,,,-0.008554705087798346,0.0,0.0,0.0,-0.008554705087798346,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-10-31,2022-11-30,2.202,2.265,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.33524544615745533,,warmup_invalid,warmup,26.0,0.33010863784395195,0.005136808313503383,0,,none,,,,,,0.028610354223433318,0.0,0.0,0.0,0.028610354223433318,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-11-30,2022-12-30,2.265,2.279,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.26582172861099246,,warmup_invalid,warmup,42.0,0.22114527444320753,0.04467645416778493,0,,none,,,,,,0.0061810154525385385,0.0,0.0,0.0,0.0061810154525385385,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2022-12-30,2023-01-31,2.279,2.507,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.18018348779678345,,warmup_invalid,warmup,59.0,0.1455525981730418,0.03463088962374164,0,,none,,,,,,0.10004387889425195,0.0,0.0,0.0,0.10004387889425195,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-01-31,2023-02-28,2.507,2.359,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.22100946874618532,,warmup_invalid,warmup,75.0,0.1667704595458969,0.05423900920028843,0,,none,,,,,,-0.059034702832070254,0.0,0.0,0.0,-0.059034702832070254,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-02-28,2023-03-31,2.359,2.327,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.21404301719665528,,warmup_invalid,warmup,94.0,0.16988566546482348,0.0441573517318318,0,,none,,,,,,-0.013565069944891915,0.0,0.0,0.0,-0.013565069944891915,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-03-31,2023-04-28,2.327,2.255,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.1793156615257263,,warmup_invalid,warmup,111.0,0.1401375198256347,0.03917814170009162,0,,none,,,,,,-0.03094112591319298,0.0,0.0,0.0,-0.03094112591319298,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-04-28,2023-05-31,2.255,2.131,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.17388697905540465,,warmup_invalid,warmup,129.0,0.16393405483030007,0.009952924225104576,0,,none,,,,,,-0.05498891352549894,0.0,0.0,0.0,-0.05498891352549894,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-05-31,2023-06-30,2.131,2.164,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.1894196388244629,,warmup_invalid,warmup,143.0,0.14828861261891327,0.04113102620554962,0,,none,,,,,,0.015485687470671219,0.0,0.0,0.0,0.015485687470671219,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-06-30,2023-07-31,2.164,2.182,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.1735174376487732,,warmup_invalid,warmup,162.0,0.21476979937000695,-0.041252361721233755,0,,none,,,,,,0.008317929759704155,0.0,0.0,0.0,0.008317929759704155,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-07-31,2023-08-31,2.182,2.052,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.19183715486526487,,warmup_invalid,warmup,182.0,0.17048303762142178,0.02135411724384309,0,,none,,,,,,-0.05957836846929418,0.0,0.0,0.0,-0.05957836846929418,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-08-31,2023-09-28,2.052,1.953,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.20826386642456057,,warmup_invalid,warmup,199.0,0.20275590057439452,0.005507965850166052,0,,none,,,,,,-0.04824561403508771,0.0,0.0,0.0,-0.04824561403508771,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-09-28,2023-10-31,1.953,1.916,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.1939495012283325,,warmup_invalid,warmup,218.0,0.1570549319102224,0.03689456931811008,0,,none,,,,,,-0.018945212493599664,0.0,0.0,0.0,-0.018945212493599664,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-10-31,2023-11-30,1.916,1.874,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.1851854095458984,,warmup_invalid,warmup,235.0,0.2058917012230066,-0.02070629167710819,0,,none,,,,,,-0.02192066805845502,0.0,0.0,0.0,-0.02192066805845502,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
159915,成长/科技/医药权重,S8_IVStyleRule_Close_v1,2023-11-30,2023-12-29,1.874,1.842,,0.0,0.0,0,0,warmup_invalid_skip,warmup_invalid_skip,0.18031223125457763,,warmup_invalid,warmup,251.0,0.18435578268992817,-0.00404355143535054,0,,none,,,,,,-0.01707577374599788,0.0,0.0,0.0,-0.01707577374599788,0.0,0,0.0,-0.0,-0.0,0.0,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,RuleD_HighIVOnly_otm5_check,False,growth_high_beta,growth_high_beta,创业板高弹性标的，normal IV卖出容易损失反弹，优先高IV-only。,CloseRule_v1,0,,,0.0,none,,0.7,
